user_id,Recency_score,Frequency_score,Monetary_score
5a645ef760fc470d00ebe75b,5,5,5
590484d0836872e94257bdd2,5,5,5
5a126332f9423079383af2b0,5,5,5
5954edd7d82d5c2e445960c7,5,5,5
5a802894aad86a10d8870675,5,5,5
5a0bdf530d81ff58806a02a4,5,5,5
5954cf8dd82d5c2e44595e53,5,5,5
5a3881b3f4d92f3d9c0a1dd6,5,5,5
598c48ad775884140c69232d,5,5,5
595b8ab5f31a6623481dc67c,5,5,5
5a3645aff4d92f3d9c0a0fc1,5,5,5
5a9a7d5410f62e1bec6e70c8,5,5,5
5a4334fb517dd01550d15f8c,5,5,5
5a990a416432e9136c260905,2,2,5
5a796d34c278d318cc56531d,5,5,5
590483c0836872e94257ac0f,5,5,5
59048267836872e94257a0f7,5,5,5
590482f1836872e94257a42f,5,5,5
5a559e154e5c5a17e00577ff,5,5,5
5a4f239add36631fa874ff02,5,5,5
5a4b0d56522b3818e80f5568,5,5,5
5a51c0e565e23415683bd8c1,5,5,5
590483c0836872e94257ad54,5,5,5
5a3b3e3759ffc3059c30faee,5,5,5
59048267836872e94257a0db,5,5,5
5a953e70ebe12614a02898d7,3,3,5
5a4e00f562308c2af43f0b82,5,5,5
5ab3521ef418382968787c91,5,4,5
59acf9a66ce0f717c02018b2,5,5,5
5a0fb3cb35ae3108241124a0,5,5,5
598eaf6af941df18b032290c,5,5,5
5904837e836872e94257a9d7,4,5,5
5a9cd883de402c0bb845f8da,5,3,5
5a72cbe0940e90340445e49f,5,5,4
5a76a37a131c3b1bd0cbbef5,5,5,4
5a16a980f75b622ab8568dcb,5,5,4
5904845c836872e94257b525,3,5,5
5a436878517dd01550d16275,5,5,4
5a7ae7b45a517f1c2895b85d,5,3,5
59f436623a82591028b36e8c,4,5,5
5a694039f378fc258c6d0de0,5,5,4
5a693dabf378fc258c6d0dcd,5,5,4
59f5999e7506193d142bc6fd,5,5,4
595b21dbce20001fc0747ee4,5,5,4
5a7abbbf5a517f1c2895b6ac,5,5,4
590484d0836872e94257bef9,5,5,4
5a37876af4d92f3d9c0a18f9,5,5,4
5a77d661131c3b1bd0cbc626,5,5,4
5a9cb389de402c0bb845f6b0,5,3,5
5ab0b2a19f1525201c3d8aaf,5,5,4
5a644ab460fc470d00ebe63b,5,5,4
5a7e6ffaaad86a10d886f6f5,5,5,4
59f061a5b41d1011307b871c,4,5,5
5a8a2fabae38ac1bfc170032,2,2,5
59048490836872e94257b9ad,5,5,4
59eecdb94dbf70325819e471,4,5,5
5a5dba4cc09839206cb78795,5,4,5
5a98bdc5fda9ae0b68fa3e0a,4,5,5
5a1b9e32b59d031c60b3eedb,4,5,5
5a1bc8eb608c8c47b4f20493,5,5,4
5a8e5072a1fbea24ec25a9db,5,5,4
59ef198607a4f8656c5fb72a,5,5,4
5a33523892849f4b089a784a,1,5,5
5ab36a31f418382968787d45,5,3,5
590483c0836872e94257ad8d,5,5,4
598bcf5944d41428b4c57cc6,4,5,5
59048232836872e942579b8e,5,5,4
59f186979a38da37f84a0670,5,5,4
5958c96f051c5f2928627ba1,4,5,5
5a266d6bad937d1814e1baac,5,4,5
5a2fb6ee8010a1133482b6a6,4,5,5
5a43707b517dd01550d162ef,3,5,5
59048267836872e942579ee5,3,5,5
5a5432f9ca726521788aa51d,5,5,4
5a1543a8f9423079383b05a2,5,5,4
599c07fae72cd815f86ce4f8,2,5,5
5a56cf98c78a7814849454f4,5,5,4
596b3ad1412d4b34e8966ec2,5,5,4
5a0ad0bc3f70e678a02ef615,2,5,5
5a1281f7f9423079383af4d0,5,5,4
596adff8a6a8b7418c172504,5,4,5
590484d0836872e94257bcab,4,2,5
59faa318cf77fe62d4a8eda7,5,5,4
59804fbd28cd6667b45abeab,2,5,5
5aa9b3a5258c5b265807e55c,5,5,4
5a8fe533630b372bec1bf41f,5,5,3
595cde5bf31a6623481dcda0,4,5,5
5a5ae7bc2ed6311e7cf3ed4b,2,5,5
5a34b682f3649239ecbfd5d2,4,5,5
5a645fd660fc470d00ebe76b,1,5,5
590484d0836872e94257bb83,4,5,5
598fbd9d94aa5d4da0c8f0c6,4,5,5
59d0e8e4f2a7f6163cd49cee,3,5,5
5980ae9ddc6e0c4064ffbb05,4,5,5
5904831b836872e94257a686,5,5,3
5a6aa89ef378fc258c6d1718,5,5,3
5a27890b45498e215054b6cd,3,5,5
5a92a57be296d30b5450e61c,5,4,5
590483c0836872e94257aefe,2,5,5
5a4b56ff522b3818e80f586b,4,5,5
5a69c590f378fc258c6d13ce,5,5,3
5a487642064a1b2708010e18,5,5,3
590484f8836872e94257c018,4,5,5
5a59faa92ed6311e7cf3ea1a,4,5,5
598810fc480d222240f3c0df,4,5,5
597f18e628cd6667b45ab7fe,4,5,5
59048410836872e94257b152,5,5,3
5a5c2c142f79421b803edba9,5,5,3
59048490836872e94257b79d,4,4,5
590484d0836872e94257bb5f,3,4,5
5904845c836872e94257b512,4,5,5
5aa0f117bfc1001ac08c23f6,3,5,5
