R,F,M,y,user_id
1,2,5,0,5a72f7f2940e90340445e7b0
4,5,4,2,590484d0836872e94257bdec
5,5,3,2,59dee09b14c0b634b08f5483
4,5,4,2,5a697343f378fc258c6d106b
5,5,3,2,5904845c836872e94257b5e3
5,3,5,1,590484d0836872e94257bc2a
5,5,3,2,5a8b8864ae38ac1bfc1704c2
5,3,5,1,5a2534ca907a154a44c2111b
4,4,5,1,5a1be9f7e188d86464511adb
4,5,4,2,5a2a6e05baff177dbc1cba19
5,5,3,2,5a77d382131c3b1bd0cbc5f1
5,5,3,2,5a520a2d59a7c709307bd153
5,5,3,2,5a227769f9f62317688bf227
4,5,4,2,5a8f8a18a1fbea24ec25ae78
5,5,3,2,597d681640426e3850abb137
5,4,5,1,59048267836872e94257a012
2,2,5,0,5a694e39f378fc258c6d0e5f
4,5,4,2,5a93887b0f23e9007c31fc88
5,4,5,1,5a9cce8ede402c0bb845f841
4,5,4,2,5a180934f75b622ab8569665
3,5,5,2,596344e670de2437f0253929
5,4,5,1,5a3f16fa81857815001e1b95
5,5,3,2,5a544c41ca726521788aa6b7
4,4,5,1,5968b2fa4999581a648561db
5,3,5,1,5a70527c27f2fb15dc2cbf52
5,5,3,2,5a10274f16fd7831dcc21db9
1,5,5,0,59048267836872e942579fc1
5,5,3,2,595da293f31a6623481dce6b
3,5,5,2,5a783f63fe098c1c4099be8c
5,3,5,1,5ab775d27b988a2798909263
1,2,5,0,5a717f66d4dfb905e46b53f6
4,5,4,2,59048490836872e94257b999
4,5,4,2,59048410836872e94257b090
3,4,5,1,597dafcb28cd6667b45aae34
3,5,5,2,5a7d490f5a517f1c2895c437
4,5,4,2,5a73d1c1e803482760d2ef5c
4,5,4,2,590483c0836872e94257acbb
5,5,3,2,5a583b3bc78a781484945e77
4,5,4,2,5a35f6cd240ee469142be186
5,4,5,1,5904837e836872e94257ab59
2,5,5,2,5a7baa2d5a517f1c2895b90d
5,5,3,2,5ab103669f1525201c3d8d87
4,5,4,2,5904831b836872e94257a5b1
1,5,5,0,5904845c836872e94257b4c4
3,4,5,1,5a4f2457dd36631fa874ff04
5,5,2,2,5a77964e131c3b1bd0cbc529
5,5,2,2,5a19450af75b622ab8569e42
4,5,4,2,59048410836872e94257b104
5,5,2,2,5a349b6892849f4b089a8237
2,5,5,2,5a45e3710ffaba1f88b83b6b
5,5,2,2,5a60838a0fa90526b0d33ae4
5,4,5,1,59bddd00e613e248107fa812
3,5,5,2,5a44be18517dd01550d16aee
5,4,5,1,5a961f9eb4f84d0f800aec1e
3,5,5,2,5a41bf14bfcc281850c22363
5,5,2,2,5a96f165b4f84d0f800af23a
5,5,2,2,5a26093f907a154a44c21351
3,5,5,2,5a17c01ef75b622ab856934f
5,5,2,2,59dda15cfacc4d08e40c47f7
5,5,2,2,59048267836872e942579d6c
5,4,5,1,59048410836872e94257b27d
4,5,4,2,5a0cffde260f8f3180602b64
5,4,5,1,5aa9df94d2e28e2090e25b4f
4,5,4,2,59dc57bcd707e925e0d2c154
5,5,2,2,5a503a5c6f185f14d40d03c6
4,5,3,2,59048490836872e94257b7c7
5,1,5,1,5abc9ca65652022fa06c7846
4,5,3,2,5a476076064a1b2708010795
5,4,5,1,5a92260964a7cc16fca2d007
3,5,5,2,5a7fb3d2aad86a10d886ffe7
5,5,2,2,59048232836872e942579ce8
5,5,2,2,59bca810b89c1c34b8078179
4,5,3,2,590484d0836872e94257bda0
3,5,5,2,5a3b912459ffc3059c30ff57
5,5,2,2,5a2a29713335f776d4828b1e
3,5,5,2,59b9fe380367851634d291af
4,4,5,1,5a45b45f0ffaba1f88b838fc
5,4,5,1,5ab0864d9f1525201c3d88ac
5,3,5,1,59048490836872e94257ba19
4,2,5,1,5ab318b7f4183829687878ec
5,4,5,1,5a24d46e907a154a44c20b8c
5,5,2,2,5a3de1d159ffc3059c310b56
5,5,2,2,5a4c8c9b522b3818e80f5f64
1,5,5,0,5a4626d3417c0920384c8331
2,2,5,0,59f4625f96111817b49a64cf
3,5,5,2,5a8e3035a1fbea24ec25a7f0
4,5,3,2,5a3f153181857815001e1b74
4,4,5,1,5a261c9b907a154a44c214b5
5,3,5,1,5aa0d158bfc1001ac08c22f0
3,5,5,2,5960989a2b041b1ef4e606af
4,4,5,1,5a1be927e188d86464511aba
3,5,5,2,5a896c67ae38ac1bfc16ff71
4,5,3,2,599d5d9eb70396151c213b44
3,5,5,2,5a1b7bcf1c8bb56edc2a2209
3,2,5,1,5aab70b29014db2948169738
5,4,5,1,5aac9542ca6c5a20f84bb3a3
5,4,5,1,5a1ba0aeb59d031c60b3ef0e
4,5,3,2,5a1bcb24608c8c47b4f2049f
5,5,2,2,5a9cc8bbde402c0bb845f7de
3,5,5,2,5a2a2aab3335f776d4828b4c
3,5,5,2,596ee392d8736956dc9d4f75
5,4,5,1,590484d0836872e94257bcd0
5,3,5,1,5a3b321d59ffc3059c30f9cc
5,4,5,1,5a41d91cbfcc281850c224d6
3,5,5,2,59048490836872e94257b791
5,3,5,1,59eb0b41b3b7fd36241f80b4
4,5,3,2,5a9692f0b4f84d0f800af163
5,5,2,2,5a3650e8f4d92f3d9c0a1106
2,5,5,2,597dc76c28cd6667b45ab015
2,5,5,2,59048232836872e942579b4d
4,5,3,2,596896f84999581a648560f9
1,5,5,0,59b174e8e73f201f6422619e
5,5,2,2,5a91524c64a7cc16fca2cee0
3,5,5,2,590483c0836872e94257abdb
2,4,5,0,5a84d9edb208f7181469bd5b
4,4,5,1,5ab075fd34569109b0bf6de0
3,5,4,2,590484f8836872e94257bf81
5,4,5,1,5a50cd7c3443c11678c900f0
5,3,5,1,5ab63b0e7b988a2798908bf3
4,4,5,1,5a378822f4d92f3d9c0a1914
5,5,2,2,5a543d89ca726521788aa5d5
5,4,4,1,5a72bb73940e90340445e403
5,1,5,1,590483c0836872e94257ae97
4,5,3,2,5a655f1e7a42103220efb3f7
5,5,2,2,59e0907909bb9127e028ceda
1,5,5,0,5a75512384425d130871ada2
4,5,3,2,59048267836872e94257a070
4,5,3,2,59745f0abaa31b6b28d114e0
4,5,3,2,5a10f3d016fd7831dcc21ec5
5,4,4,1,5904831b836872e94257a685
5,3,5,1,5a6d765e8d767b2aecde88e6
5,3,5,1,5904837e836872e94257a9b0
3,5,4,2,59048232836872e942579bfa
4,5,3,2,5a20ffa65ad1ff1764b2fb24
4,5,3,2,5a31f6d7f21a3e33e88c99f3
5,4,4,1,5ab1c7d89f1525201c3d8e22
1,5,5,0,5a75177b84425d130871aa05
5,5,2,2,5a4c52c7522b3818e80f5b92
1,2,5,0,5a76ea36131c3b1bd0cbc387
2,5,5,2,590484f8836872e94257bf80
5,5,2,2,5a6708395ae7942adc6a2911
5,4,4,1,5980961bdc6e0c4064ffba6e
5,5,2,2,596389922242ea5414de1e1f
4,5,3,2,59048410836872e94257b05f
2,5,5,2,5904845c836872e94257b44d
3,4,5,1,5a9a7ed910f62e1bec6e70e5
5,4,4,1,5a9a1dde212fde1be4ed2ba9
4,4,5,1,5a1a31b7f377f477c494c18d
3,5,4,2,5a9b9211de402c0bb845f232
3,5,4,2,5a80180aaad86a10d8870536
3,5,4,2,5a810cf3b208f7181469acb4
3,5,4,2,5a96942bb4f84d0f800af175
1,5,5,0,590484d0836872e94257bc07
5,4,4,1,59048490836872e94257b7d4
2,2,5,0,5a90ccc564a7cc16fca2c8ac
4,5,3,2,590482f1836872e94257a3bf
3,5,4,2,5904837e836872e94257a9ef
5,4,4,1,5964bca12242ea5414de2573
5,5,2,2,5a6ae0a6e56a2026ccb9d45a
4,5,3,2,59a38815337e810e8c26d64a
5,5,2,2,5a543b1aca726521788aa5a5
2,5,5,2,590484f8836872e94257c000
4,4,5,1,59048410836872e94257b0de
4,5,3,2,5993fe1eb169f1198c898f84
5,5,2,2,5a939aea0f23e9007c31fdda
1,5,5,0,5a3343c092849f4b089a774f
4,4,5,1,59f7e7525792e64238da36cb
3,5,4,2,595f5bfe4c78ad48683c7066
3,5,4,2,590482f1836872e94257a17d
2,5,5,2,5958877941c5fd2f28cd3273
3,5,4,2,59f5d4505792e64238da2f0e
5,4,4,1,5a72a203940e90340445e1dd
5,1,5,1,5ab7132d7b988a2798908d8c
5,4,4,1,595f253a4c78ad48683c6e3c
5,5,2,2,5a5d73e9c09839206cb78414
3,5,4,2,5a93a11f0f23e9007c31fe17
1,5,5,0,5904837e836872e94257ab36
2,5,5,2,595ef9ae98cccc1f9ca87152
5,3,5,1,5ab62c1a7b988a2798908b0b
